Video_ID,Artist,Comment
3DP5rIXKYQ4,블랙핑크 제니,와 생라이븐데 미쳤다 ㅋㅋㅋㅋㅋㅋㅋ 월클은 이정도 돼야 가능하구나
3DP5rIXKYQ4,블랙핑크 제니,난 이런거 관심없는데 이건 진심 존경ㅅ.럽다 제니가 진짜 월드클래스 맞구나
3DP5rIXKYQ4,블랙핑크 제니,라이브예요?
rw-tAjiXrrI,블랙핑크 제니,"다 따로 나와도 좋긴 한데, 같이 나오는 모습이 보고 싶다"
rw-tAjiXrrI,블랙핑크 제니,골드 아이섀도우 진심 존예아니냐우
rw-tAjiXrrI,블랙핑크 제니,무대가 어째 착하디~의상도 표정도..방송용으로 수정된듯
rw-tAjiXrrI,블랙핑크 제니,팬들 응원 너무 좋다 너무 진심이라 좋아보임
rw-tAjiXrrI,블랙핑크 제니,진짜 왜 탑인지 보여주는 노래 실력이다
rw-tAjiXrrI,블랙핑크 제니,구라안치고 한국음방 무대세트중에서 제일 예쁨…제니랑 즌짜 잘어울림
rw-tAjiXrrI,블랙핑크 제니,"반가워요.^^
배기성씨(캔)  노래 정말 좋아했는데 반갑네요.
구독 알람 신청하고 갑니다.꾹!"
rw-tAjiXrrI,블랙핑크 제니,제낫으 #1:8
rw-tAjiXrrI,블랙핑크 제니,제니
rw-tAjiXrrI,블랙핑크 제니,"손흥민팬으로 오직 축구경기와 그와 관련된 영상과 빅뱅이나 소녀시대 싸이 그리고 BTS 노
래만 듣다 이번에 아파트 노래
듣고 너무 좋아서 하루에 몇십
번씩 무비를 보고있네요 진짜
대박입니다 로제도 알고있었
지만 이렇게 노래잘하고 음색
좋은줄 처음 알았음 강남스타
일 무비를 넘어설 수 있는 초
초초대박 터지기를 바랍니다"
rw-tAjiXrrI,블랙핑크 제니,"이제 아이돌이 빌보드까지 가니까 음악방송이 아이돌 대접해주는 세상이 올줄이야 ㅋㅋㅋㅋㅋㅋㅋㅋ
그래 조회수 나올려면 가수들 모셔야지
몇년전만해도 방송국놈들이 아이돌한테 갑질 존나해댔는데 격세지감이다"
rw-tAjiXrrI,블랙핑크 제니,"아니 저 아파트 음이
미치겄네 ㅋㅋㅋㅋㅋ 중독성 오짐 ㅠ"
rw-tAjiXrrI,블랙핑크 제니,제니 노래는 한국어가 한개도 없네...
rw-tAjiXrrI,블랙핑크 제니,"이게 노래냐? ㅋㅋㅋ
라이브를 하봐 전자담배녀"
rw-tAjiXrrI,블랙핑크 제니,mbc에서 제니를 보다니 무대도 너무좋다 ㅎ
rw-tAjiXrrI,블랙핑크 제니,이게 진짜 노래가 좋아서 듣는거임?
rw-tAjiXrrI,블랙핑크 제니,설마 이것도 k pop이라고 부르진 않겠지 ㅋㅋㅋㅋㅋㅋ
rw-tAjiXrrI,블랙핑크 제니,청하 부럽다. 노래를 잘하면 저렇게 크리스토퍼랑 마주보고 같이 노래할수 있는거구나 ㅠㅠ
rw-tAjiXrrI,블랙핑크 제니,제니는 걍 레전드다..
rw-tAjiXrrI,블랙핑크 제니,근데 한국말 가사는 하나도 없는건가?
rw-tAjiXrrI,블랙핑크 제니,참 머리좋아
rw-tAjiXrrI,블랙핑크 제니,귀하디귀해❤❤❤
rw-tAjiXrrI,블랙핑크 제니,노래가넘별론뎅
rw-tAjiXrrI,블랙핑크 제니,음방이 더 필요해 너무 예뻐
rw-tAjiXrrI,블랙핑크 제니,우와! !!!
rw-tAjiXrrI,블랙핑크 제니,한글 하나 없네.....로제에 비해서 너무 정체성이 없다.이게 케이팝인지 영미팝인지 한숨이 나온다.그냥 미국가서 활동해라.이러니 미국이나 유럽인들이 제니나 리사를 천하게 보고 깔보지.로제는 벗지않아도 섹시하다고 보는데......
rw-tAjiXrrI,블랙핑크 제니,웃는거 너무 예쁨❤
rw-tAjiXrrI,블랙핑크 제니,돈도 안되는 국내 음방까지와서 저렇게 열심히 해주고 ㅠㅠ 심지어 음악뚫고 올라오는 올라이브야 쉬는구간이 거의 없네 ㄷㄷ 제니도 저렇게 열심히 사는데... 오늘도 힘내서 일하러 갑니둥
rw-tAjiXrrI,블랙핑크 제니,브루노마스는 제대로 들어보지도 못하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
rw-tAjiXrrI,블랙핑크 제니,안녕하세요 로즈 목소리 너무 좋고 제니 너무 멋져요
rw-tAjiXrrI,블랙핑크 제니,"리믹스가 자연스럽네요
리믹스 경쟁 벌어지겠습니다"
rw-tAjiXrrI,블랙핑크 제니,그냥 미쳤다 너무 좋다
rw-tAjiXrrI,블랙핑크 제니,로제 승
rw-tAjiXrrI,블랙핑크 제니,어디가 노래로써 듣기좋은지 찾기 힘든 점이 특징.
rw-tAjiXrrI,블랙핑크 제니,"갠적으로 개인소속사 차릴때 좀 불안한데 자기색상 찾아가는게 좋음 ㅎ
이효리 유고걸같은컨셉나와도 반응 좋을듯"
rw-tAjiXrrI,블랙핑크 제니,재밌다❤
rw-tAjiXrrI,블랙핑크 제니,야무지다
rw-tAjiXrrI,블랙핑크 제니,영어를 쓰면서 케이팝 이라니 ㅋ
rw-tAjiXrrI,블랙핑크 제니,로제 대박쳐서 개배아프겠구만
rw-tAjiXrrI,블랙핑크 제니,와...이게 되네..쩐다
rw-tAjiXrrI,블랙핑크 제니,이렇게 갓벽한 스타가 있어서 더이상 남돌이 사고쳐도 쉴드치지 않게 되는 것 같다. 실력에 유명세에 돈많이 벌고 아름답고 월드클래스여도 갓생산다. 만트라 제니 최고❤
rw-tAjiXrrI,블랙핑크 제니,노래가 좋아 ㅋ
9gbGmwUhaAw,블랙핑크 제니,제니는 갈수록 터락하는듯  진짜 별루다
9gbGmwUhaAw,블랙핑크 제니,엉밑살안보여줘도 충분히 너희는 이뻐 ㅜㅜ
9gbGmwUhaAw,블랙핑크 제니,저질이다~저렇게입구싶을까😮😮헐
9gbGmwUhaAw,블랙핑크 제니,"이쁜애가 저래 짧을 필요가 있나..어허..
교복을 저래 입는 애들 겁나 욕해주고 싶었는데..
제니..정말 너무 저속하고 싸보여.."
9gbGmwUhaAw,블랙핑크 제니,저리 말랐는데 살이 접힌다는건 근육이 거의 없다는건데..운동은 안하나보다ㅋㅋ
9gbGmwUhaAw,블랙핑크 제니,말세다
9gbGmwUhaAw,블랙핑크 제니,수경공연 최고짜릿
9gbGmwUhaAw,블랙핑크 제니,"어깨보다
궁디가 문젠데.."
9gbGmwUhaAw,블랙핑크 제니,"저렇게 안입어도 섹쉬하고 이쁜데~
제니씨 치마길이가 조금더 길었으면 ㅠㅠ"
9gbGmwUhaAw,블랙핑크 제니,제니야 사랑해!!!!!!!!!!!!!! -할미로부터
9gbGmwUhaAw,블랙핑크 제니,"다리길이 길어보이게
할려는것 같네요"
9gbGmwUhaAw,블랙핑크 제니,지방이같누
9gbGmwUhaAw,블랙핑크 제니,체구가 아담해서 야한 느낌이 안나서 좋음ㅋㅋ
9gbGmwUhaAw,블랙핑크 제니,몇년뒤에 유행할 옷이라능
9gbGmwUhaAw,블랙핑크 제니,일부러그러는거같은데
9gbGmwUhaAw,블랙핑크 제니,"홍준아 좋곘다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
찬주보다는 제니다."
9gbGmwUhaAw,블랙핑크 제니,ㅇ하 짧다
9gbGmwUhaAw,블랙핑크 제니,옷꼬라지봐라
9gbGmwUhaAw,블랙핑크 제니,더러
9gbGmwUhaAw,블랙핑크 제니,노렷네
9gbGmwUhaAw,블랙핑크 제니,"눈이 절루가서 집중이 안돼., ㅠ"
9gbGmwUhaAw,블랙핑크 제니,지수도 엉밑 ㄷᆢ
9gbGmwUhaAw,블랙핑크 제니,이쁘다
9gbGmwUhaAw,블랙핑크 제니,엉덩이가 허벅지에 붙어있고 처짐
9gbGmwUhaAw,블랙핑크 제니,적당히하지.. 이쁘지도않고 좀 추함
9gbGmwUhaAw,블랙핑크 제니,없어보임
9gbGmwUhaAw,블랙핑크 제니,안본눈삽니다 알고리즘이따구냐
9gbGmwUhaAw,블랙핑크 제니,참 잘돌리네
9gbGmwUhaAw,블랙핑크 제니,꼴보기싫어
9gbGmwUhaAw,블랙핑크 제니,로제는 집안 멀쩡한게 보임. 확실히..
9gbGmwUhaAw,블랙핑크 제니,싸구려 써커스단인줄
9gbGmwUhaAw,블랙핑크 제니,"해외에서 경쟁력을 얻으려면 당연한거,
한국이나 십선비의 나라라 그렇지 해외는 ㅋㅋㅋ 성적인것에 유교사상 이런거 있지도않아요"
9gbGmwUhaAw,블랙핑크 제니,이쁘당 ❤❤❤
9gbGmwUhaAw,블랙핑크 제니,엉덩이가 저게뭐야 누군 엉더미없나 까바리고나와보기흉해
9gbGmwUhaAw,블랙핑크 제니,솔직히 저건 역겹지 않냐? ㅋㅋㅋㅋ 댓글들 어떻게든 좋게 포장하려고 지랄들 하네ㅋㅋㅋ
9gbGmwUhaAw,블랙핑크 제니,야동찍어도 열애설터져도 담배빨아도 인성 개터져도 나락안가는 이상한 유일무이 아이돌;;
9gbGmwUhaAw,블랙핑크 제니,우둔살?
9gbGmwUhaAw,블랙핑크 제니,차라리 로제처럼 저런게 낫다 리사나 제니같이 엉덩이살 보이니 더러워보이더라. 그게 개인 취향이니깐요. 제취향은 로제처럼 입는거에요.
9gbGmwUhaAw,블랙핑크 제니,정상아님
9gbGmwUhaAw,블랙핑크 제니,심한 노출은 참 안예쁘다
9gbGmwUhaAw,블랙핑크 제니,그래그래 젊음이  좋네
9gbGmwUhaAw,블랙핑크 제니,"엉밑살 보기싫다
통통해서 징그럽
가리는게 이뿌지. 
이미지 까먹는듯"
9gbGmwUhaAw,블랙핑크 제니,미친거아님
9gbGmwUhaAw,블랙핑크 제니,왜서 저럴까.  춤도 저질.   관중석에대고 엉덩이만흔들어대는게 주요. 포인트.
9gbGmwUhaAw,블랙핑크 제니,야들은 술집애들 같아
9gbGmwUhaAw,블랙핑크 제니,"✈️👍❤뭐라고 아무리 없는흉봐도
노래소리+랩소리+춤선=귀티줄줄나는건=탑중에탑=제니🔇다른멤버+목소리 아무리잘해보여도 계속들을수없는소리
❤제니는 노랫소리+랩소리+퍼포먼스춤 아무리봐도 +들어도 질리지않는 매력
❤그래서=역시제니가제니합니다"
9gbGmwUhaAw,블랙핑크 제니,"정말보기싫네
추하다"
9gbGmwUhaAw,블랙핑크 제니,제니가 노출을 좋아함
9gbGmwUhaAw,블랙핑크 제니,"재니에게.   멍청. 촌닭 같은. 소리하지
말어~~!!??"
9gbGmwUhaAw,블랙핑크 제니,"재니.뭐라고.  말하지. 말아 ~?무대
위에서는.  용기와. 변신이. 시대을
앞서가는.  리더야.   대한민국. 짱"
6vOm3gWQinQ,블랙핑크 제니,사랑해
6vOm3gWQinQ,블랙핑크 제니,제니 고마워요! Mantra 너무 좋아해요! 앨범이 나오기를 기다릴 수 없어요! 행복하고 건강하세요!😘
6vOm3gWQinQ,블랙핑크 제니,"앞에 댄서 양갈래 오드리
아녀?ㅋㅋㅋ"
6vOm3gWQinQ,블랙핑크 제니,멋집니다!!!!
